City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,vestmannaeyjar,IS,63.44,-20.27,42.8,81,0,11.41,clear sky
220,aracaju,BR,-10.91,-37.07,84.2,54,20,11.41,few clouds
221,naryan-mar,RU,67.67,53.09,38.68,86,100,15.39,overcast clouds
222,kupang,ID,-10.17,123.58,74.5,78,66,5.37,broken clouds
223,zatoka,UA,46.07,30.47,66.2,88,25,8.95,scattered clouds
224,yellowknife,CA,62.46,-114.35,43.0,100,90,9.17,mist
225,naze,JP,28.37,129.48,77.0,83,0,9.17,clear sky
226,castro,BR,-24.79,-50.01,76.17,57,0,10.27,clear sky
227,quatre cocos,MU,-20.21,57.76,75.0,83,40,8.05,scattered clouds
228,saldanha,ZA,-33.01,17.94,60.8,72,0,5.82,clear sky
229,tasiilaq,GL,65.61,-37.64,28.2,82,21,2.71,few clouds
230,bilibino,RU,68.05,166.44,22.03,96,96,2.53,overcast clouds
231,beloha,MG,-25.17,45.05,63.95,74,11,13.76,few clouds
232,sinnamary,GF,5.38,-52.95,85.6,67,27,9.91,scattered clouds
233,qandala,SO,11.47,49.87,83.89,56,3,5.41,clear sky
234,malakal,SS,9.53,31.66,74.68,80,77,1.59,broken clouds
235,zhangye,CN,38.93,100.45,44.78,52,100,1.99,overcast clouds
236,mizdah,LY,31.45,12.98,89.55,12,78,13.76,broken clouds
237,yar-sale,RU,66.83,70.83,36.75,84,100,16.51,overcast clouds
238,faanui,PF,-16.48,-151.75,77.72,78,100,15.79,overcast clouds
239,gigmoto,PH,13.78,124.39,80.33,79,3,2.68,clear sky
240,narsaq,GL,60.92,-46.05,39.2,55,0,3.36,clear sky
241,merauke,ID,-8.47,140.33,78.1,84,99,16.17,overcast clouds
242,kavaratti,IN,10.57,72.64,80.89,70,89,10.85,overcast clouds
243,kirkenes,NO,69.73,30.05,44.6,87,0,14.99,clear sky
244,sioux lookout,CA,50.1,-91.92,51.8,50,40,13.87,scattered clouds
245,kharitonovo,RU,61.4,47.5,34.25,90,0,4.34,clear sky
246,buchanan,LR,5.88,-10.05,80.6,83,75,5.82,broken clouds
247,kidal,ML,18.44,1.41,96.75,20,66,8.12,broken clouds
248,stornoway,GB,58.21,-6.39,54.0,100,100,18.34,light rain
249,namibe,AO,-15.2,12.15,65.68,70,90,3.69,overcast clouds
250,bar harbor,US,44.39,-68.2,54.0,81,90,5.82,light rain
251,ilulissat,GL,69.22,-51.1,30.2,54,27,2.84,scattered clouds
252,longyearbyen,SJ,78.22,15.64,35.6,93,75,3.36,light rain
253,jalpaiguri,IN,26.52,88.73,77.68,89,74,4.74,broken clouds
254,san luis,AR,-33.3,-66.34,57.4,39,64,5.06,broken clouds
255,banff,CA,51.18,-115.57,63.0,49,100,7.0,overcast clouds
