City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Maningrida,AU,2020-10-04 00:40:17,-12.07,134.27,86.85,54,100,11.59
70,Arraial Do Cabo,BR,2020-10-04 00:40:17,-22.97,-42.03,73.4,100,75,5.82
71,Thompson,CA,2020-10-04 00:40:17,55.74,-97.86,39.2,80,75,4.7
72,Port Alfred,ZA,2020-10-04 00:40:17,-33.59,26.89,60.22,86,37,12.17
73,Chuy,UY,2020-10-04 00:40:17,-33.7,-53.46,51.26,78,10,10.65
74,East London,ZA,2020-10-04 00:40:17,-33.02,27.91,62.24,84,96,7.96
75,Bara,NG,2020-10-04 00:40:17,10.37,10.73,73.62,81,6,2.82
76,Aklavik,CA,2020-10-04 00:40:17,68.22,-135.01,55.4,62,40,5.82
77,Klyuchi,RU,2020-10-04 00:40:18,52.27,79.17,41.52,67,99,9.98
78,Banda Aceh,ID,2020-10-04 00:40:18,5.56,95.32,82.67,67,81,6.51
79,Merauke,ID,2020-10-04 00:40:18,-8.47,140.33,84.81,70,92,10.36
80,Plettenberg Bay,ZA,2020-10-04 00:40:18,-34.05,23.37,56.19,85,0,4.25
81,Saint-Joseph,RE,2020-10-04 00:40:18,-21.37,55.62,71.6,73,90,16.11
82,Aripuana,BR,2020-10-04 00:40:18,-9.17,-60.63,75.07,87,30,0.67
83,Areosa,PT,2020-10-04 00:40:18,41.72,-8.86,64.0,93,20,11.41
84,Pisco,PE,2020-10-04 00:40:18,-13.7,-76.22,64.99,82,20,20.8
85,Kapaa,US,2020-10-04 00:40:18,22.08,-159.32,87.8,66,1,9.17
86,Hilo,US,2020-10-04 00:40:19,19.73,-155.09,87.8,55,1,9.17
87,Tripoli,LY,2020-10-04 00:38:21,32.88,13.19,82.18,68,60,16.4
88,Cherskiy,RU,2020-10-04 00:40:19,68.75,161.3,33.49,84,0,8.5
89,Charleville,AU,2020-10-04 00:40:19,-26.4,146.25,77.0,36,0,14.99
90,Sao Filipe,CV,2020-10-04 00:40:19,14.9,-24.5,78.76,78,14,7.16
91,Paamiut,GL,2020-10-04 00:40:19,61.99,-49.67,34.38,85,54,8.88
92,Sakaraha,MG,2020-10-04 00:40:19,-22.9,44.53,64.99,71,0,3.02
93,Mount Gambier,AU,2020-10-04 00:40:20,-37.83,140.77,60.8,87,90,8.05
94,Cockburn Town,TC,2020-10-04 00:40:20,21.46,-71.14,83.59,77,89,23.58
95,Saskylakh,RU,2020-10-04 00:40:20,71.92,114.08,21.78,96,100,14.65
96,Balgazyn,RU,2020-10-04 00:40:20,51.0,95.2,31.69,79,0,2.13
97,Karasburg,NA,2020-10-04 00:40:20,-28.02,18.75,50.22,45,0,5.73
98,Butaritari,KI,2020-10-04 00:40:20,3.07,172.79,81.32,71,100,9.22
99,Georgetown,MY,2020-10-04 00:40:20,5.41,100.34,78.8,88,20,3.36
100,Naze,JP,2020-10-04 00:40:21,28.37,129.48,82.4,69,20,9.17
101,Hithadhoo,MV,2020-10-04 00:40:21,-0.6,73.08,83.37,72,98,10.04
102,Mahebourg,MU,2020-10-04 00:40:21,-20.41,57.7,71.6,88,40,5.21
103,Puerto Ayora,EC,2020-10-04 00:40:21,-0.74,-90.35,68.0,87,53,8.01
104,Viedma,AR,2020-10-04 00:40:21,-40.81,-63.0,38.79,75,0,10.4
105,Devonport,AU,2020-10-04 00:40:21,-41.17,146.35,63.0,79,100,5.97
