City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,jensen beach,US,84.99,broken clouds,27.25,-80.23,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
303,mindelo,CV,84.2,few clouds,16.89,-24.98,Hotel Gaudi
306,mangrol,IN,80.4,clear sky,21.12,70.12,Hotel The Royal Honours
311,ambon,ID,75.99,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
313,patiya,BD,76.77,light rain,22.29,91.98,"Alam Building, Noaa Pokor Par, Patiya"
314,manaure,CO,84.58,overcast clouds,11.78,-72.44,Del mar vendra
318,bubaque,GW,82.08,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
323,san jose,US,84.0,haze,37.34,-121.89,The Westin San Jose
329,lompoc,US,78.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
332,phaltan,IN,75.07,overcast clouds,17.98,74.43,Hotel New Vijay
343,key largo,US,87.01,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
345,mariel,CU,86.0,broken clouds,22.99,-82.75,Casa de Alojamiento Marilda y Jesus
349,katsuura,JP,75.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
351,maragogi,BR,78.08,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
352,gamba,GA,76.84,overcast clouds,-2.65,10.0,
355,sakakah,SA,82.4,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
356,tura,IN,75.06,few clouds,25.52,90.22,Hotel RIKMAN Continental
359,conceicao da barra,BR,81.1,overcast clouds,-18.59,-39.73,Cricaré Praia Hotel
360,mayumba,GA,77.11,light rain,-3.43,10.66,LIKWALE LODGE
364,kahului,US,80.6,few clouds,20.89,-156.47,Maui Seaside Hotel
367,menongue,AO,78.42,overcast clouds,-14.66,17.69,Ritz Lauca
369,axim,GH,76.57,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
370,ramshir,IR,87.8,clear sky,30.89,49.41,بزرگمهر بزرگ زهیریه رامشیر
372,samarai,PG,78.4,moderate rain,-10.62,150.67,Nuli Sapi
373,haimen,CN,80.6,few clouds,23.19,116.61,Jinghao Business Hotel
375,valdez,EC,77.94,scattered clouds,1.25,-78.98,hotel Stefany
378,qui nhon,VN,78.85,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
379,el estor,GT,86.14,overcast clouds,15.53,-89.35,Chalet Castillo
381,luanda,AO,75.2,scattered clouds,-8.84,13.23,EPIC SANA Luanda
384,vanimo,PG,77.25,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
385,ixtapa,MX,90.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
388,west bay,KY,87.01,few clouds,19.37,-81.42,Calypso Cove
392,nanakuli,US,80.6,clear sky,21.39,-158.15,Camp Pālehua
396,marsa matruh,EG,78.8,clear sky,31.35,27.25,Beau Site
400,puerto lempira,HN,89.6,scattered clouds,15.27,-83.77,Hotel Yu baiwan
401,tulum,MX,84.2,broken clouds,20.22,-87.47,Kin Ha
403,el cobre,CU,87.8,scattered clouds,20.05,-75.95,Hospedería del Santuario de Nuestra Señora de la Caridad de El Cobre
410,sola,VU,80.6,broken clouds,-13.88,167.55,Leumerus Bungalows
412,coahuayana,MX,82.4,few clouds,18.73,-103.68,Hotel Los Arcos
418,port-gentil,GA,77.0,moderate rain,-0.72,8.78,Fengshui Residence
420,dwarka,IN,81.64,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
422,oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
425,ugoofaaru,MV,82.31,scattered clouds,5.67,73.0,Ungoofaaru Inn
428,corn island,NI,83.52,clear sky,12.17,-83.04,Big Fish Guest House
430,nicoya,CR,78.8,broken clouds,10.15,-85.45,Guayacan Real
435,sao gabriel da cachoeira,BR,89.24,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
437,saint-georges,GD,86.0,scattered clouds,12.06,-61.75,Siesta Hotel
438,dabakala,CI,75.79,moderate rain,8.37,-4.43,Hôtel Campement
439,mogadishu,SO,79.54,clear sky,2.04,45.34,Hotel Juba
440,the valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
447,lucea,JM,89.6,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
449,cukai,MY,75.2,overcast clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
451,champerico,GT,86.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
454,umm lajj,SA,83.17,clear sky,25.02,37.27,Moon light Furnished Units
457,lafia,NG,79.27,light rain,8.48,8.52,Low Cost Housing Estate
459,tabou,CI,77.81,scattered clouds,4.42,-7.35,hotêl doufoulougou
460,acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
466,umri,IN,78.08,clear sky,26.51,78.94,shri kheda pati bajrang bali ji mandir umri
467,birao,CF,75.76,few clouds,10.28,22.79,
470,thinadhoo,MV,83.21,broken clouds,0.53,72.93,
471,kutum,SD,80.42,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
472,north miami,US,89.01,broken clouds,25.89,-80.19,Best Western Plus Windsor Inn
478,panaba,MX,83.25,light rain,21.28,-88.27,Hotel Amor
480,las varas,MX,89.01,clear sky,21.17,-105.17,Casa Palapas
482,acarau,BR,83.89,clear sky,-2.89,-40.12,castelo pizzaria
485,cayenne,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
486,wanlaweyn,SO,80.28,scattered clouds,2.62,44.89,Haji Qasim Hotel
491,miandrivazo,MG,78.96,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
495,nabire,ID,75.29,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
496,cuauhtemoc,MX,78.01,clear sky,28.42,-106.87,Motel Tarahumara Inn
498,neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
503,chokwe,MZ,76.32,clear sky,-24.53,32.98,Complexo Sonho Real
505,olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
509,takoradi,GH,76.86,overcast clouds,4.88,-1.76,Raybow International Hotel
513,dhidhdhoo,MV,81.95,scattered clouds,6.88,73.1,Dhidhoo beach
515,tagusao,PH,80.76,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
518,jalingo,NG,77.7,light rain,8.88,11.37,Debright Motel
524,dingle,PH,76.55,overcast clouds,11.0,122.67,Camp Pasica
527,puerto cabezas,NI,89.6,haze,14.04,-83.39,Hotel Caribe
536,pizarro,CO,76.48,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
537,escarcega,MX,84.18,few clouds,18.61,-90.75,Hotel Maria Isabel
538,caravelas,BR,81.0,clear sky,-17.71,-39.25,Pousada dos Navegantes
540,luwuk,ID,77.07,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
542,gwadar,PK,84.16,clear sky,25.12,62.33,Sadaf Resort
543,atar,MR,81.61,light rain,20.52,-13.05,Oumou Elghoura
550,sungairaya,ID,76.64,moderate rain,0.7,108.9,808 artel
552,la palma,US,88.0,haze,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
553,kollam,IN,80.6,mist,8.88,76.6,The Raviz Ashtamudi
555,trapani,IT,77.0,clear sky,37.83,12.67,
560,key west,US,89.6,few clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
563,dhuburi,IN,81.14,overcast clouds,26.03,89.97,Hotel Samrat
564,conde,BR,84.2,few clouds,-7.26,-34.91,Pousada Beija Flor
565,abnub,EG,80.6,clear sky,27.27,31.15,مسجد الخطبة
568,pasco,US,75.99,overcast clouds,28.29,-82.42,Single Family Home
572,erzin,TR,79.0,few clouds,36.96,36.2,Artemis Otel
575,daru,PG,77.27,light rain,-9.08,143.21,New century hotel
